Five-Year Age Groups Code	Race Code	Hispanic Origin Code	State Code	Gender Code	Deaths	Population
1-4	2054-5	2186-2	1	M	20	37147
1-4	2106-3	2186-2	1	F	19	66563
1-4	2106-3	2186-2	1	M	18	69980
1-4	2106-3	2135-2	4	F	17	64045
1-4	2106-3	2135-2	4	M	17	67649
1-4	1002-5	2186-2	4	M	10	9994
1-4	2106-3	2186-2	4	F	13	69785
1-4	2106-3	2186-2	4	M	20	72714
1-4	2106-3	2186-2	5	M	17	50617
1-4	2106-3	2135-2	6	F	76	475851
1-4	2106-3	2135-2	6	M	92	493935
1-4	A-PI	2186-2	6	F	16	120257
1-4	2054-5	2186-2	6	F	14	61272
1-4	2054-5	2186-2	6	M	21	63760
1-4	2106-3	2186-2	6	F	42	278580
1-4	2106-3	2186-2	6	M	57	292900
1-4	2106-3	2135-2	8	M	12	38599
1-4	2106-3	2186-2	8	F	12	76026
1-4	2106-3	2186-2	8	M	14	80779
1-4	2106-3	2135-2	12	F	24	118346
1-4	2106-3	2135-2	12	M	31	123615
1-4	2054-5	2186-2	12	F	33	96686
1-4	2054-5	2186-2	12	M	53	100184
1-4	2106-3	2186-2	12	F	42	187233
1-4	2106-3	2186-2	12	M	61	196681
1-4	2106-3	2135-2	13	M	11	33381
1-4	2054-5	2186-2	13	F	30	90955
1-4	2054-5	2186-2	13	M	49	93525
1-4	2106-3	2186-2	13	F	29	116660
1-4	2106-3	2186-2	13	M	32	121766
1-4	2106-3	2135-2	17	M	20	72781
1-4	2054-5	2186-2	17	F	21	52016
1-4	2054-5	2186-2	17	M	26	53112
1-4	2106-3	2186-2	17	F	16	161603
1-4	2106-3	2186-2	17	M	29	169820
1-4	2054-5	2186-2	18	M	11	23187
1-4	2106-3	2186-2	18	F	30	119393
1-4	2106-3	2186-2	18	M	32	125959
1-4	2106-3	2186-2	19	F	18	60778
1-4	2106-3	2186-2	19	M	14	63863
1-4	2106-3	2186-2	20	F	11	52851
1-4	2106-3	2186-2	20	M	20	55689
1-4	2106-3	2186-2	21	F	18	86384
1-4	2106-3	2186-2	21	M	35	91821
1-4	2054-5	2186-2	22	F	27	46380
1-4	2054-5	2186-2	22	M	41	48053
1-4	2106-3	2186-2	22	F	16	62312
1-4	2106-3	2186-2	22	M	24	65867
1-4	2054-5	2186-2	24	F	19	46885
1-4	2054-5	2186-2	24	M	21	48251
1-4	2106-3	2186-2	24	M	23	66567
1-4	2106-3	2186-2	25	F	17	89144
1-4	2106-3	2186-2	25	M	14	93411
1-4	2054-5	2186-2	26	F	15	43458
1-4	2054-5	2186-2	26	M	26	45500
1-4	2106-3	2186-2	26	F	29	151111
1-4	2106-3	2186-2	26	M	36	159374
1-4	2106-3	2186-2	27	F	17	97596
1-4	2106-3	2186-2	27	M	21	102503
1-4	2054-5	2186-2	28	F	17	33264
1-4	2054-5	2186-2	28	M	19	33583
1-4	2106-3	2186-2	28	F	12	37520
1-4	2106-3	2186-2	28	M	16	40147
1-4	2054-5	2186-2	29	M	16	24549
1-4	2106-3	2186-2	29	F	32	107087
1-4	2106-3	2186-2	29	M	28	113097
1-4	2106-3	2186-2	31	F	10	35664
1-4	2106-3	2186-2	31	M	12	37516
1-4	2106-3	2135-2	32	M	11	26057
1-4	2054-5	2186-2	34	M	14	31536
1-4	2106-3	2186-2	34	F	20	93719
1-4	2106-3	2186-2	34	M	18	98524
1-4	2106-3	2135-2	35	F	10	27671
1-4	2106-3	2135-2	36	F	18	91226
1-4	2106-3	2135-2	36	M	15	95716
1-4	2054-5	2186-2	36	F	19	77245
1-4	2054-5	2186-2	36	M	30	79412
1-4	2106-3	2186-2	36	F	41	219732
1-4	2106-3	2186-2	36	M	41	230436
1-4	2106-3	2135-2	37	M	10	32095
1-4	2054-5	2186-2	37	F	22	58154
1-4	2054-5	2186-2	37	M	26	60467
1-4	2106-3	2186-2	37	F	31	125110
1-4	2106-3	2186-2	37	M	51	131160
1-4	2054-5	2186-2	39	F	13	49400
1-4	2054-5	2186-2	39	M	23	50867
1-4	2106-3	2186-2	39	F	30	196222
1-4	2106-3	2186-2	39	M	61	207210
1-4	2106-3	2186-2	40	F	20	60371
1-4	2106-3	2186-2	40	M	30	63421
1-4	2054-5	2186-2	42	F	15	42953
1-4	2054-5	2186-2	42	M	17	45079
1-4	2106-3	2186-2	42	F	37	188617
1-4	2106-3	2186-2	42	M	38	198298
1-4	2054-5	2186-2	45	F	12	37014
1-4	2054-5	2186-2	45	M	28	38024
1-4	2106-3	2186-2	45	M	31	66389
1-4	2054-5	2186-2	47	F	10	34417
1-4	2054-5	2186-2	47	M	15	35384
1-4	2106-3	2186-2	47	F	18	102826
1-4	2106-3	2186-2	47	M	26	107144
1-4	2106-3	2135-2	48	F	74	368251
1-4	2106-3	2135-2	48	M	112	382538
1-4	2054-5	2186-2	48	F	36	92545
1-4	2054-5	2186-2	48	M	48	96626
1-4	2106-3	2186-2	48	F	62	257059
